Title,Summary,Case type,Market sector,Outcome type,Closed date,Archive URL,,
Brulines (Holdings) plc / Nucleus Data Holdings Ltd ,OFT closed case: Anticipated acquisition by Brulines (Holdings) plc of Nucleus Data Holdings Limited ,Mergers,Distribution and Service Industries,Mergers - phase 1 clearance,20-Nov-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Brulines,,
"HBOS / David Lloyd Leisure Ltd, DLL SA, David Lloyd Leisure Espana I SL, David Lloyd Leisure Espana II SL, Next Generation Clubs Holdings Ltd ","OFT closed case: Completed acquisition by HBOS plc of control of David Lloyd Leisure Ltd, DLL SA, David Lloyd Leisure Espana I SL, David Lloyd Leisure Espana II SL and Next Generation Clubs Holdings Ltd ",Mergers,Recreation and Leisure,Mergers - phase 1 clearance,5-Nov-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/HBOS,,
Centenary Music Holdings Ltd / V2 Music Group Ltd ,OFT closed case: Completed acquisition by Centenary Music Holdings Limited of V2 Music Group Limited ,Mergers,Recreation and Leisure,Mergers - phase 1 clearance,5-Nov-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Centenary2,,
Loomis UK Ltd / Brinks Ltd ,OFT closed case: Completed acquisition by Loomis UK Limited of the cash handling and related services business of Brinks Limited ,Mergers,Distribution and Service Industries,Mergers - phase 1 clearance,31-Oct-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Loomis,,
Tesco Stores Ltd / Kwik Save stores ,OFT closed case: Anticipated acquisition by Tesco Stores Limited of two former Kwik Save Stores (Audley and Dudley) ,Mergers,Retail and wholesale,Mergers - phase 1 clearance,30-Oct-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/tesco-stores,,
Robert J Goff & Co plc / Doncaster Bloodstock Sales Ltd ,OFT closed case: Completed acquisition by Robert J Goff & Co plc of Doncaster Bloodstock Sales Ltd ,Mergers,Retail and wholesale,Mergers - phase 1 clearance,25-Oct-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Robert-j-goff,,
Resolution plc / Friends Provident plc ,OFT closed case: Anticipated acquisition by Resolution plc of Friends Provident plc,Mergers,Financial services,Mergers - phase 1 clearance,12-Oct-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Resolution,,
Luxottica S.p.A. / Oakley Inc ,OFT closed case: Anticipated acquisition by Luxottica S.p.A. of Oakley Inc. ,Mergers,Healthcare and medical equipment,Mergers - phase 1 clearance,12-Oct-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Luxottica,,
Balfour Beatty plc / Cowlin Group Ltd ,OFT closed case: Completed acquisition by Balfour Beatty plc of Cowlin Group Limited ,Mergers,Building and construction,Mergers - phase 1 clearance,12-Oct-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Balfour,,
La Seda de Barcelona S.A. / Amcor ,OFT closed case: Anticipated acquisition by La Seda de Barcelona S.A. of Amcor’s European PET packaging business ,Mergers,Chemicals,Mergers - phase 1 clearance,4-Oct-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/La-Seda,,
Albemarle & Bond Holdings Ltd / Herbert Brown & Son Ltd ,OFT closed case: Completed acquisition by Albemarle & Bond Holdings Limited of Herbert Brown & Son Limited ,Mergers,Financial services,Mergers - phase 1 clearance,21-Sep-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Albemarle,,
Groupe Steria SCA / Xansa plc ,OFT closed case: Anticipated acquisition by Groupe Steria SCA of Xansa plc,Mergers,Electronics Industry,Mergers - phase 1 clearance,19-Sep-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Group-Steria,,
Musgrave Investments plc / J & J Haslett Holdings Ltd ,OFT closed case: Anticipated acquisition by Musgrave Investments plc of J & J Haslett Holdings Limited ,Mergers,Retail and wholesale,Mergers - phase 1 clearance,4-Sep-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Musgrave,,
Biolin AB / Nima Technology Ltd ,OFT closed case: Anticipated acquisition by Biolin AB of Nima Technology Limited ,Mergers,Healthcare and medical equipment,Mergers - phase 1 clearance,29-Aug-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Biolin,,
Pearson plc / Harcourt businesses / Reed Elsevier plc ,OFT closed case: Completed acquisition by Pearson plc of Harcourt businesses from Reed Elsevier plc ,Mergers,Paper printing and packaging,Mergers - phase 1 clearance,24-Aug-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Pearson,,
DCC plc / CPL Petroleum Ltd ,OFT closed case: Anticipated acquisition by DCC plc of CPL Petroleum Ltd ,Mergers,Oil and Gas refining and Petrochemicals,Mergers - phase 1 clearance,24-Aug-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/DCC,,
CompuGROUP UK Ltd / iSOFT Group plc ,OFT closed case: Anticipated acquisition of iSOFT Group plc by CompuGROUP UK Ltd ,Mergers,Electronics Industry,Mergers - phase 1 clearance,24-Aug-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/CompuGROUP,,
Ahlstrom Corporation / Fiberweb plc ,OFT closed case: Completed acquisition by Ahlstrom Corporation of the consumer wipes business of Fiberweb plc ,Mergers,Textiles,Mergers - phase 1 clearance,24-Aug-07,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2007/Ahlstrom2,,
