Title,Summary,Case type,Market sector,Outcome type,Closed date,Archive URL
United Fish Industries / Rossyew Ltd ,,Mergers,Retail and wholesale,Mergers - phase 1 clearance,9/4/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/united-fish
Associated British Foods/Elephant Etta business ,,Mergers,Retail and wholesale,Mergers - phase 1 clearance,9/6/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/associated-british-foods
Laidlaw / Timbmet Door Solutions Ltd ,,Mergers,"Household goods, furniture and furnishings",Mergers - phase 1 clearance,9/14/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/laidlaw
Denstu / Aegis plc,,Mergers,Communications,Mergers - phase 1 clearance,9/21/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/dentsu
Parker Hannifin / Olaer Group Ltd,,Mergers,Building and construction,Mergers - phase 1 clearance,9/21/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/parker-hannifin
"Motorola Solutions, Inc / Psion plc ",,Mergers,Electronics Industry,Mergers - phase 1 clearance,9/27/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/msi
Ryder / Euroway Group Ltd ,,Mergers,Transport,Mergers - phase 1 found not to qualify  ,9/27/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/Ryder
"SAP AG /  Ariba, Inc ",,Mergers,Distribution and service industries,Mergers - phase 1 clearance,9/27/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/SAP
Vodafone / Telefónica UK Ltd,,Mergers,Telecommunications,Mergers - phase 1 clearance,9/28/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/vodafone
Global Radio Holdings / Real and Smooth Ltd ,,Mergers,Communications,Mergers - phase 1 referral,10/11/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/global
American Greetings / Clinton Card Group ,,Mergers,Paper printing and packaging,Mergers - phase 1 clearance,10/12/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/american-greetings
Civica UK / Gateway Computing Ltd ,,Mergers,Electronics Industry,Mergers - phase 1 found not to qualify  ,10/12/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/civica
Boparan Holdings/R F Brookes Chilled Food and Avana Bakeries,,Mergers,Food manufacturing,Mergers - phase 1 clearance with undertakings in lieu,10/25/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/boparan
Brookfield Infrastructure Partners LP / Inexus Group Ltd ,,Mergers,Utilities,Mergers - phase 1 clearance,10/25/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/brookfield
CAE Inc / Oxford Aviation Academy,,Mergers,Distribution and service industries,Mergers - phase 1 clearance,10/26/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/cae
Eurotunnel /  SeaFrance S.A. ,,Mergers,Transport,Mergers - phase 1 referral,10/29/12,http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/decisions/2012/eurotunnel
