Title,Summary,Outcome type,Market sector,Closed date,Archive URL,,
National Express Group plc / Greater Western Passenger Rail Franchise ,OFT closed case: Anticipated acquisition by National Express Group plc of the Greater Western franchise ,Mergers - phase 1 reference,Transport,29-Sep-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/national2,,
Stagecoach Group plc / Brunel Trains Ltd. / Greater Western Passenger Rail Franchise ,OFT closed case: Anticipated acquisition by Stagecoach Group plc and Brunel Trains Ltd. of the Greater Western Passenger Rail Franchise ,Mergers - phase 1 reference,Transport,29-Sep-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/stagecoach2,,
Cardpoint plc / Moneybox plc ,OFT closed case: Completed acquisition by Cardpoint plc of Moneybox plc ,Mergers - phase 1 found not to qualify,Electronics Industry ,28-Sep-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/cardpoint,,
DSG Retail Ltd / Equanet Holdings Ltd ,OFT closed case: DSG Retail Ltd / Equanet Holdings Ltd ,Mergers - phase 1 found not to qualify,Electronics Industry ,25-Sep-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/dsg,,
Phoenix Medical Supplies / Numark plc ,OFT closed case: Anticipated acquisition by Phoenix Medical Supplies of Numark plc ,Mergers - Phase 1 Clearance ,Distribution and Service Industries ,25-Sep-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/phoenix2,,
Dennis's of Dukinfield / Stagecoach Manchester ,"OFT closed case: Completed acquisition of Dennis's Coaches by Greater Manchester Buses South Ltd, a subsidiary of Stagecoach Group plc",Mergers - Phase 1 Clearance ,Transport,22-Sep-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/dennis,,
Rank Hovis Ltd / Finedon Mill from Finedon Mill Ltd ,OFT closed case: Completed acquisition by Rank Hovis Ltd of Finedon Mill from Finedon Mill Ltd ,Mergers - Phase 1 Clearance ,Food manufacturing,22-Sep-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/rank,,
Vue Entertainment Holdings (UK) Ltd / A3 Cinema Ltd ,"OFT closed case: Completed acquisition by Vue Entertainment Holdings (UK) Ltd of A3 Cinema Ltd (including its subsidiary, Ster Century (UK) Ltd) ",Mergers - phase 1 reference,Recreation and Leisure,22-Sep-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/vue,,
Greene King plc / Belhaven Group plc ,OFT closed case: Anticipated acquisition by Greene King plc of Belhaven Group plc ,Mergers - Phase 1 Clearance ,Recreation and Leisure,21-Sep-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/greene2,,
HSA Group Ltd / Health Innovations Services Group Ltd ,OFT closed case: Completed acquisition by HSA Group Ltd of Health Innovations Services Group Ltd ,Mergers - Phase 1 Clearance ,Financial services ,21-Sep-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/has,,
Kewill Systems plc / Perwill plc ,OFT closed case: Completed acquisition by Kewill Systems plc of Perwill plc,Mergers - phase 1 found not to qualify,Electronics Industry ,21-Sep-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/kewill,,
GVA Grimley LLP / Mappin Planning and Development ,OFT closed case: Completed acquisition by GVA Grimley LLP of Mappin Planning and Development,Mergers - phase 1 found not to qualify,Distribution and Service Industries ,19-Sep-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/grimley,,
Lockheed Martin / Insys ,OFT closed case: Anticipated acquisition by Lockheed Martin Corporation of Stasys Ltd ,Mergers - phase 1 found not to qualify,Defence ,19-Sep-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/Lockheed,,
Parker Hannifin Corporation / Domnick Hunter Group plc ,OFT closed case: Anticipated acquisition by Parker Hannifin Corporation of Domnick Hunter Group plc,Mergers - Phase 1 Clearance ,Engineering ,19-Sep-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/parker,,
Bridgepoint Capital Group Ltd / Tunstall Holdings Ltd ,OFT closed case: Anticipated acquisition by Bridgepoint Capital Group Ltd of Tunstall Holdings Ltd ,Mergers - phase 1 found not to qualify,Electronics Industry ,18-Sep-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/bridgepoint,,
LGC Investments Ltd / Forensic Alliance Ltd ,OFT closed case: Anticipated acquisition by Bridgepoint Capital Group Ltd of Tunstall Holdings Ltd ,Mergers - phase 1 found not to qualify,Distribution and service industries,18-Sep-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/lgc,,
Dairy Crest Group plc / Midlands Cooperative Society Ltd ,OFT closed case: Completed acquisition by Dairy Crest Group plc of the dairy business of Midlands Cooperative Society Ltd ,Mergers - Phase 1 Clearance ,Food manufacturing,7-Sep-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/dairycrest2,,
Teeside Power Holdings Ltd / Midlands Power (TPL) Ltd ,OFT closed case: Completed acquisition by Teeside Power Holdings Ltd of Midlands Power (TPL) Ltd ,Mergers - phase 1 found not to qualify,Energy,6-Sep-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/teeside,,
Chrysalis Radio Holdings Ltd / Century Radio 106 Ltd ,OFT closed case: Completed acquisition by Chrysalis Radio Holdings Ltd of Century Radio 106 Ltd ,Mergers - phase 1 found not to qualify,Communications ,4-Sep-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/chrysalis,,
Waitrose Ltd / Wm Morrison Supermarkets plc ,OFT closed case: Anticipated acquisition by Waitrose Ltd of five stores from Wm Morrison Supermarkets plc ,Mergers - phase 1 found not to qualify,Retail and wholesale ,1-Sep-05,OFT closed case: http://webarchive.nationalarchives.gov.uk/20140402142426/http://www.oft.gov.uk/OFTwork/mergers/Mergers_Cases/2005/waitrose,,
